Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
L304;710150362;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1141;710117627;03/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
5471;710150613;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
L198;710150386;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
L373;710117605;03/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
L199;503801690;05/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1524;710122676;04/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
L047;710150384;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1078;710150381;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1114;503801658;05/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1223;710150057;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
L969;710116896;03/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1158;503801712;05/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1109;503828143;10/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1598;503819094;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
5365;710150055;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
L106;503801597;05/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;90;R$ 412,20
1419;710146783;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
L141;710126053;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
L123;710150373;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
L123;503829675;10/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
1004;503826537;10/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
L443;710146784;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
L439;710146205;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
L439;710119861;03/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
1041;710126039;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 399,60
1413;710146787;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 397,20
1518;710146704;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 397,20
1126;710146434;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;120;R$ 397,20
1501;503818730;09/09/2026;Faturamento Manual;4332046;BOLINHO ANA MARIA CENOURA CHOC 70G BIMBO;120;R$ 397,20
1396;503821670;09/09/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;63;R$ 357,84
L123;503829654;10/09/2026;Faturamento Manual;4264646;BOLO CHOCOLATE 250G SEVEN BOYS;56;R$ 331,52
1019;503784233;02/09/2026;Faturamento Manual;4315292;SALG PINGO DOURO PICANHA 120G ELMA CHIPS;50;R$ 317,00
L056;710150368;09/09/2026;Faturamento Manual;4333857;CX BOMBOM 10GRT 220G GAROTO;27;R$ 254,34
L056;710154404;09/09/2026;Faturamento Manual;4331330;CX BOMBOM ESPECIALIDADES 220G NESTLE;20;R$ 249,60
L141;710118599;03/09/2026;Faturamento Manual;4264646;BOLO CHOCOLATE 250G SEVEN BOYS;42;R$ 248,64
L056;710150364;09/09/2026;Faturamento Manual;4267534;CHOC KIT KAT AO LEITE 41,5G NESTLE;72;R$ 230,40
1518;710146704;08/09/2026;Faturamento Manual;4314951;TORCIDA COSTELINHA COM LIMAO 35G PEPSICO;208;R$ 224,64
1314;710083374;28/08/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 220,68
1501;503818731;09/09/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
5307;503784226;02/09/2026;Faturamento Manual;4314170;PAO DE FORMA TRADICIONAL 400G TRADICAO;36;R$ 218,88
1123;710146421;08/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1583;710147027;08/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L485;710146789;08/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L141;710150372;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1004;503826536;10/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1079;710147025;08/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1041;710150349;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1413;710150714;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L439;710150624;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1419;710146419;08/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1198;503823295;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L589;710150335;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L326;503825983;10/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1126;710150340;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
5241;710150352;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L123;710150663;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L056;710150370;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L226;503830336;10/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1150;710150392;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1329;710150353;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
5347;710146416;08/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1130;710150318;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
1146;710150415;09/09/2026;Faturamento Manual;4291597;BATATA RUFFLES SAL 115G ELMA CHIPS G;30;R$ 217,50
L056;710150370;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L123;710150380;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L226;503830595;10/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L589;710150341;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L326;503825984;10/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
1041;710150621;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
1146;710150619;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L141;710150620;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L443;710150346;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
1004;503827920;10/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L439;710150383;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
1126;710150378;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
1413;710150616;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
1419;710150393;09/09/2026;Faturamento Manual;4291529;BISC POLVILHO SAL 100G CASSINI;45;R$ 206,10
L717;710147024;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
1224;710121985;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
L627;710146669;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
1141;710119677;03/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
L565;710119529;03/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
L439;710122523;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
L373;710119527;03/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
5347;710146250;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
L414;710119862;03/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 199,80
L304;503815838;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1198;503823262;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1123;710146421;08/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
5397;710122593;04/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
1150;710150392;09/09/2026;Faturamento Manual;4175687;BOLINHO ANA MARIA CHOCO 70G BIMBO;60;R$ 198,60
