Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
L392;710110899;02/09/2026;Faturamento Manual;4266986;CX BOMBOM 250,6G LACTA;304;R$ 4.727,20
1078;503777496;01/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
1114;503762809;29/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
1560;503743287;26/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
L706;710051246;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 762,00
L432;503782875;02/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 762,00
L484;503742755;26/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 756,00
1376;710088898;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L720;710089318;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L589;710089064;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L601;710088901;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
5482;710088802;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
1097;503789478;03/09/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
1146;710088723;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L088;710084197;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
1041;710088897;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L762;710089313;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L627;710089360;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
L443;503786253;02/09/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
