Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
5331;710181687;14/09/2026;Faturamento Manual;4315189;CHEETOS ONDA 105G ELMA CHIPS M;275;R$ 1.424,50
5266;710182708;14/09/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;275;R$ 1.424,50
1518;710146681;08/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;250;R$ 1.227,50
1224;710121985;04/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L439;710119861;03/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.219,20
L969;503837359;12/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;480;R$ 1.209,60
1445;710150397;09/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;225;R$ 1.104,75
L304;503815838;08/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1158;503801838;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
L199;503832969;11/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
L106;503801850;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
1524;503801796;05/09/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;420;R$ 1.058,40
5397;710172558;12/09/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;200;R$ 1.036,00
5397;710170983;12/09/2026;Faturamento Manual;4315189;CHEETOS ONDA 105G ELMA CHIPS M;200;R$ 1.036,00
5486;503840263;12/09/2026;Faturamento Manual;4314981;BATATA RUFFLES ORIG 68G ELMA CHIPS M;200;R$ 982,00
1518;710181575;14/09/2026;Faturamento Manual;4315189;CHEETOS ONDA 105G ELMA CHIPS M;140;R$ 725,20
1518;710181575;14/09/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;140;R$ 725,20
5486;710181858;14/09/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;140;R$ 725,20
1459;710172637;12/09/2026;Faturamento Manual;4315189;CHEETOS ONDA 105G ELMA CHIPS M;140;R$ 725,20
5215;710182181;14/09/2026;Faturamento Manual;4315189;CHEETOS ONDA 105G ELMA CHIPS M;140;R$ 725,20
1459;710172637;12/09/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;140;R$ 725,20
5215;710182181;14/09/2026;Faturamento Manual;4315243;CHEETOS LUA PARMESAO 95G ELMA CHIPS M;140;R$ 725,20
