Distrito;Loja;Guia;Data Guia;Faturamento;Material;Descricao;Quantidade;Montante
FORTALEZA/CE SUL;5492;503776482;01/09/2026;Faturamento Manual;4304008;PAO DE FORMA INTEGRAL 390G BAUDUCCO;210;R$ 1.224,30
FORTALEZA/CE OESTE;1560;503743287;26/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
FORTALEZA/CE SUL;1078;710051354;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
FORTALEZA/CE OESTE;1114;503762809;29/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
FORTALEZA/CE SUL;1109;503737928;25/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;360;R$ 907,20
PE NORTE;L056;710051218;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 762,00
PARAIBA/PE;L706;710051246;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 762,00
PE SUL;L481;710051216;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 762,00
PE NORTE;L432;710051341;24/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 762,00
FORTALEZA/CE OESTE;L484;503742755;26/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 756,00
FORTALEZA/CE OESTE;L327;503737923;25/08/2026;Faturamento Manual;4175684;BOLINHO ANA MARIA GTS CHOC 70G BIMBO;300;R$ 756,00
PARAIBA/PE;5482;710088802;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;1419;710089551;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE SUL;1146;710088723;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;5079;710089047;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE SUL;L443;710088559;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE SUL;L762;710089313;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE SUL;L088;710084197;29/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
PE NORTE;1097;710091214;31/08/2026;Faturamento Manual;4314393;PAO DE FORMA 30% INTEGRAL 400G TRADICAO;90;R$ 603,90
